所有,建て方,面積,世帯数,世帯人員数
0,0,0,106,116
0,0,1,362,479
0,0,2,1026,1980
0,0,3,3081,7282
0,0,4,4407,12181
0,0,5,2956,8843
0,1,0,13,21
0,1,1,37,63
0,1,2,35,68
0,1,3,50,102
0,1,4,56,158
0,1,5,1,4
0,2,0,238,370
0,2,1,1073,1752
0,2,2,5545,11696
0,2,3,8968,23050
0,2,4,576,1506
0,2,5,104,280
0,3,0,15,29
0,3,1,14,26
0,3,2,28,51
0,3,3,30,87
0,3,4,27,76
0,3,5,27,59
1,0,0,0,0
1,0,1,0,0
1,0,2,0,0
1,0,3,0,0
1,0,4,0,0
1,0,5,0,0
1,1,0,0,0
1,1,1,1,2
1,1,2,2,2
1,1,3,0,0
1,1,4,0,0
1,1,5,0,0
1,2,0,601,819
1,2,1,3831,6941
1,2,2,5933,11885
1,2,3,1038,2308
1,2,4,15,43
1,2,5,2,7
1,3,0,0,0
1,3,1,0,0
1,3,2,0,0
1,3,3,0,0
1,3,4,0,0
1,3,5,0,0
2,0,0,115,120
2,0,1,444,852
2,0,2,338,777
2,0,3,336,874
2,0,4,175,494
2,0,5,43,117
2,1,0,306,421
2,1,1,337,592
2,1,2,157,330
2,1,3,73,160
2,1,4,23,68
2,1,5,3,6
2,2,0,32581,35329
2,2,1,21289,28081
2,2,2,12854,22382
2,2,3,5687,10495
2,2,4,381,648
2,2,5,77,143
2,3,0,47,59
2,3,1,38,62
2,3,2,13,21
2,3,3,10,21
2,3,4,5,11
2,3,5,0,0
3,0,0,5,5
3,0,1,29,54
3,0,2,21,58
3,0,3,42,120
3,0,4,30,88
3,0,5,25,79
3,1,0,10,10
3,1,1,5,9
3,1,2,7,16
3,1,3,6,19
3,1,4,2,8
3,1,5,0,0
3,2,0,1620,1742
3,2,1,1368,1842
3,2,2,1024,2399
3,2,3,713,2012
3,2,4,40,103
3,2,5,11,27
3,3,0,11,19
3,3,1,14,24
3,3,2,11,24
3,3,3,10,25
3,3,4,4,6
3,3,5,5,11
4,0,0,86,146
4,0,1,74,152
4,0,2,90,231
4,0,3,48,150
4,0,4,0,0
4,0,5,0,0
4,1,0,23,31
4,1,1,10,28
4,1,2,2,3
4,1,3,3,6
4,1,4,0,0
4,1,5,0,0
4,2,0,410,464
4,2,1,195,310
4,2,2,106,212
4,2,3,82,175
4,2,4,0,0
4,2,5,0,0
4,3,0,11,14
4,3,1,3,4
4,3,2,1,4
4,3,3,1,1
4,3,4,0,0
4,3,5,0,0
